date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017-01-01,46.19,45.26,40.93,36.3,35.52,39.32,26.58,23.33,32.42,36.13,35.9,34.95,36.31,35.07,37.01,53.43,56.78,60.49,65.38,62.31,54.45,49.6,53.71,47.31
2017-01-02,36.99,36.73,32.21,31.56,31.98,38.16,45.76,55.34,56.97,56.95,59.63,62.4,67.65,68.99,66.34,64.56,66.33,70.98,66.4,54.52,44.45,38.1,42.09,35.09
2017-01-03,35.01,33.6,30.95,34.93,34.08,31.08,31.5,38.87,40.49,45.57,44.23,42.2,41.18,38.71,35.58,35.38,35.46,36.15,37.21,33.65,29.77,23.32,17.23,4.41
2017-01-04,8.27,8.66,22.77,16.8,17.44,22.21,40.75,47.95,50.61,44.18,44.49,48.62,50.32,47.2,46.19,52.08,53.15,54.36,54.71,49.15,38.56,37.19,36.92,33.92
2017-01-05,43.75,40.48,32.98,31.99,35.41,35.23,37.97,50.12,49.93,49.86,50.06,51.01,52.88,50.34,52.29,60.27,64.41,65.26,67.89,61.59,57.95,42.32,46.05,35.37
2017-01-06,36.6,35.89,38.92,37.73,36.89,38.07,39.8,49.86,50.28,50.39,50.63,50.3,50.45,42.69,41.83,44.47,50.85,55.09,49.46,46.31,38.7,37.85,40.99,34.79
2017-01-07,37.92,36.38,35.57,37.88,38.49,39.41,33.22,36.51,34.87,36.46,35.64,40.32,45.77,47.4,51.28,53.79,60.88,68.03,67.77,64.82,61.38,60.09,59.83,51.18
2017-01-08,47.21,46.96,50.44,53.95,58.26,55.77,50.57,46.79,56.21,59.71,59.05,63.09,62.18,59.6,59.12,59.63,60.58,68.06,69.91,63.63,58.45,48.84,52.1,41.34
2017-01-09,39.33,39.36,39.83,40.27,39.15,41.21,49.24,65.15,66.95,64.05,63.47,62.47,68.27,68.03,67.23,66.6,72.53,78.51,69.77,59.07,44.85,40.66,39.22,37.57
2017-01-10,28.09,26.01,25.26,21.43,22.99,24.58,30.44,40.04,59.85,72.42,75.81,73.75,71.44,69.74,60.07,58.61,67.59,90.69,89.74,65.94,53.63,40.31,38.39,36.49
2017-01-11,38.7,38.4,36.21,37.54,37.01,34.81,40.26,50.48,42.8,44.88,49.29,47.25,43.28,44.54,45.26,46.82,51.05,53.83,49.69,47.04,41.87,31.26,25.04,11.76
2017-01-12,16.83,15.47,16.08,13.76,15.32,24.83,40.02,49.24,51.41,50.41,46.89,42.07,40.12,40.87,42.23,57.69,61.2,67.0,66.12,65.2,55.49,49.22,49.0,37.65
2017-01-13,29.66,25.87,18.07,16.12,24.66,32.5,36.31,47.34,47.49,46.19,47.34,48.29,44.27,43.36,42.14,40.44,44.53,45.52,38.4,33.08,31.23,28.99,29.63,28.34
2017-01-14,19.19,13.69,3.95,1.31,2.46,7.25,13.61,15.76,23.63,33.14,38.76,40.55,38.5,34.5,31.81,33.11,33.04,32.77,30.07,29.32,24.28,25.18,23.07,21.33
